"Date","Symbol","Field","Value"
"2018-09-21","AAMC","Adjusted","59.700001"
"2018-09-21","AAMC","Close","59.700001"
"2018-09-21","AAMC","High","61.900002"
"2018-09-21","AAMC","Low","59.700001"
"2018-09-21","AAMC","OpCl","-0.00502510879354934"
"2018-09-21","AAMC","Open","60"
"2018-09-21","AAMC","Volume","1500"
"2018-09-21","AAU","Adjusted","0.63"
"2018-09-21","AAU","Close","0.63"
"2018-09-21","AAU","High","0.63"
"2018-09-21","AAU","Low","0.61"
"2018-09-21","AAU","OpCl","0.0158730158730159"
"2018-09-21","AAU","Open","0.62"
"2018-09-21","AAU","Volume","92400"
"2018-09-21","ACU","Adjusted","22.5"
"2018-09-21","ACU","Close","22.5"
"2018-09-21","ACU","High","22.5"
"2018-09-21","ACU","Low","21.4"
"2018-09-21","ACU","OpCl","0.0417778222222221"
"2018-09-21","ACU","Open","21.559999"
"2018-09-21","ACU","Volume","2300"
"2018-09-21","ACY","Adjusted","15.7"
"2018-09-21","ACY","Close","15.7"
"2018-09-21","ACY","High","15.7"
"2018-09-21","ACY","Low","15.7"
"2018-09-21","ACY","OpCl","0"
"2018-09-21","ACY","Open","15.7"
"2018-09-21","ACY","Volume","0"
"2018-09-21","AE","Adjusted","39.5"
"2018-09-21","AE","Close","39.5"
"2018-09-21","AE","High","44.34"
"2018-09-21","AE","Low","39.5"
"2018-09-21","AE","OpCl","-0.0797468860759494"
"2018-09-21","AE","Open","42.650002"
"2018-09-21","AE","Volume","16900"
"2018-09-21","AEF","Adjusted","6.85"
"2018-09-21","AEF","Close","6.85"
"2018-09-21","AEF","High","6.89"
"2018-09-21","AEF","Low","6.82"
"2018-09-21","AEF","OpCl","-0.00145985401459869"
"2018-09-21","AEF","Open","6.86"
"2018-09-21","AEF","Volume","47300"
"2018-09-21","AINC","Adjusted","87.349998"
"2018-09-21","AINC","Close","87.349998"
"2018-09-21","AINC","High","90.300003"
"2018-09-21","AINC","Low","87.349998"
"2018-09-21","AINC","OpCl","-0.0012593131370191"
"2018-09-21","AINC","Open","87.459999"
"2018-09-21","AINC","Volume","14400"
"2018-09-21","AIRI","Adjusted","1.45"
"2018-09-21","AIRI","Close","1.45"
"2018-09-21","AIRI","High","1.45"
"2018-09-21","AIRI","Low","1.4"
"2018-09-21","AIRI","OpCl","0.00689655172413794"
"2018-09-21","AIRI","Open","1.44"
"2018-09-21","AIRI","Volume","52900"
"2018-09-21","AKG","Adjusted","0.82"
"2018-09-21","AKG","Close","0.82"
"2018-09-21","AKG","High","0.86"
"2018-09-21","AKG","Low","0.82"
"2018-09-21","AKG","OpCl","-0.0487804878048781"
"2018-09-21","AKG","Open","0.86"
"2018-09-21","AKG","Volume","679200"
"2018-09-21","ALO","Adjusted","0.72"
"2018-09-21","ALO","Close","0.72"
"2018-09-21","ALO","High","0.76"
"2018-09-21","ALO","Low","0.71"
"2018-09-21","ALO","OpCl","-0.0555555555555556"
"2018-09-21","ALO","Open","0.76"
"2018-09-21","ALO","Volume","250000"
"2018-09-21","AMBO","Adjusted","5.87"
"2018-09-21","AMBO","Close","5.87"
"2018-09-21","AMBO","High","6"
"2018-09-21","AMBO","Low","5.8"
"2018-09-21","AMBO","OpCl","-0.0221465076660987"
"2018-09-21","AMBO","Open","6"
"2018-09-21","AMBO","Volume","1500"
"2018-09-21","AMPE","Adjusted","0.54"
"2018-09-21","AMPE","Close","0.54"
"2018-09-21","AMPE","High","0.58"
"2018-09-21","AMPE","Low","0.49"
"2018-09-21","AMPE","OpCl","0.0370370370370371"
"2018-09-21","AMPE","Open","0.52"
"2018-09-21","AMPE","Volume","2910500"
"2018-09-21","AMS","Adjusted","2.95"
"2018-09-21","AMS","Close","2.95"
"2018-09-21","AMS","High","3"
"2018-09-21","AMS","Low","2.95"
"2018-09-21","AMS","OpCl","-0.0169491525423728"
"2018-09-21","AMS","Open","3"
"2018-09-21","AMS","Volume","11000"
"2018-09-21","APHB","Adjusted","0.92"
"2018-09-21","APHB","Close","0.92"
"2018-09-21","APHB","High","0.97"
"2018-09-21","APHB","Low","0.89"
"2018-09-21","APHB","OpCl","-0.0543478260869565"
"2018-09-21","APHB","Open","0.97"
"2018-09-21","APHB","Volume","136100"
"2018-09-24","AAMC","Adjusted","60.23"
"2018-09-24","AAMC","Close","60.23"
"2018-09-24","AAMC","High","60.23"
"2018-09-24","AAMC","Low","58.900002"
"2018-09-24","AAMC","OpCl","0.0112900713929934"
"2018-09-24","AAMC","Open","59.549999"
"2018-09-24","AAMC","Volume","1200"
"2018-09-24","AAU","Adjusted","0.63"
"2018-09-24","AAU","Close","0.63"
"2018-09-24","AAU","High","0.65"
"2018-09-24","AAU","Low","0.61"
"2018-09-24","AAU","OpCl","-0.0317460317460319"
"2018-09-24","AAU","Open","0.65"
"2018-09-24","AAU","Volume","91000"
"2018-09-24","ACU","Adjusted","21.809999"
"2018-09-24","ACU","Close","21.809999"
"2018-09-24","ACU","High","22.049999"
"2018-09-24","ACU","Low","20.23"
"2018-09-24","ACU","OpCl","0.0724437905751395"
"2018-09-24","ACU","Open","20.23"
"2018-09-24","ACU","Volume","2200"
"2018-09-24","ACY","Adjusted","15.8"
"2018-09-24","ACY","Close","15.8"
"2018-09-24","ACY","High","15.8"
"2018-09-24","ACY","Low","15.8"
"2018-09-24","ACY","OpCl","0"
"2018-09-24","ACY","Open","15.8"
"2018-09-24","ACY","Volume","200"
"2018-09-24","AE","Adjusted","41.450001"
"2018-09-24","AE","Close","41.450001"
"2018-09-24","AE","High","42.639999"
"2018-09-24","AE","Low","40.450001"
"2018-09-24","AE","OpCl","0.0241254517701942"
"2018-09-24","AE","Open","40.450001"
"2018-09-24","AE","Volume","8800"
"2018-09-24","AEF","Adjusted","6.75"
"2018-09-24","AEF","Close","6.75"
"2018-09-24","AEF","High","6.8"
"2018-09-24","AEF","Low","6.74"
"2018-09-24","AEF","OpCl","-0.00740740740740731"
"2018-09-24","AEF","Open","6.8"
"2018-09-24","AEF","Volume","94100"
"2018-09-24","AINC","Adjusted","85.779999"
"2018-09-24","AINC","Close","85.779999"
"2018-09-24","AINC","High","91.143997"
"2018-09-24","AINC","Low","85.779999"
"2018-09-24","AINC","OpCl","-0.020051305899409"
"2018-09-24","AINC","Open","87.5"
"2018-09-24","AINC","Volume","14100"
"2018-09-24","AIRI","Adjusted","1.46"
"2018-09-24","AIRI","Close","1.46"
"2018-09-24","AIRI","High","1.46"
"2018-09-24","AIRI","Low","1.41"
"2018-09-24","AIRI","OpCl","0.00684931506849318"
"2018-09-24","AIRI","Open","1.45"
"2018-09-24","AIRI","Volume","31100"
"2018-09-24","AKG","Adjusted","0.84"
"2018-09-24","AKG","Close","0.84"
"2018-09-24","AKG","High","0.86"
"2018-09-24","AKG","Low","0.81"
"2018-09-24","AKG","OpCl","0.0238095238095238"
"2018-09-24","AKG","Open","0.82"
"2018-09-24","AKG","Volume","192500"
"2018-09-24","ALO","Adjusted","0.74"
"2018-09-24","ALO","Close","0.74"
"2018-09-24","ALO","High","0.75"
"2018-09-24","ALO","Low","0.73"
"2018-09-24","ALO","OpCl","-0.0135135135135136"
"2018-09-24","ALO","Open","0.75"
"2018-09-24","ALO","Volume","119100"
"2018-09-24","AMBO","Adjusted","5.72"
"2018-09-24","AMBO","Close","5.72"
"2018-09-24","AMBO","High","5.899"
"2018-09-24","AMBO","Low","5.51"
"2018-09-24","AMBO","OpCl","-0.0262237762237763"
"2018-09-24","AMBO","Open","5.87"
"2018-09-24","AMBO","Volume","3900"
"2018-09-24","AMPE","Adjusted","0.52"
"2018-09-24","AMPE","Close","0.52"
"2018-09-24","AMPE","High","0.58"
"2018-09-24","AMPE","Low","0.5"
"2018-09-24","AMPE","OpCl","-0.096153846153846"
"2018-09-24","AMPE","Open","0.57"
"2018-09-24","AMPE","Volume","1688000"
"2018-09-24","AMS","Adjusted","3.03"
"2018-09-24","AMS","Close","3.03"
"2018-09-24","AMS","High","3.03"
"2018-09-24","AMS","Low","3.03"
"2018-09-24","AMS","OpCl","0"
"2018-09-24","AMS","Open","3.03"
"2018-09-24","AMS","Volume","400"
"2018-09-24","APHB","Adjusted","1.02"
"2018-09-24","APHB","Close","1.02"
"2018-09-24","APHB","High","1.03"
"2018-09-24","APHB","Low","0.93"
"2018-09-24","APHB","OpCl","0.0686274509803922"
"2018-09-24","APHB","Open","0.95"
"2018-09-24","APHB","Volume","172900"
"2018-09-25","AAMC","Adjusted","60.23"
"2018-09-25","AAMC","Close","60.23"
"2018-09-25","AAMC","High","60.23"
"2018-09-25","AAMC","Low","60.23"
"2018-09-25","AAMC","OpCl","0"
"2018-09-25","AAMC","Open","60.23"
"2018-09-25","AAMC","Volume","0"
"2018-09-25","AAU","Adjusted","0.65"
"2018-09-25","AAU","Close","0.65"
"2018-09-25","AAU","High","0.65"
"2018-09-25","AAU","Low","0.62"
"2018-09-25","AAU","OpCl","0.0461538461538462"
"2018-09-25","AAU","Open","0.62"
"2018-09-25","AAU","Volume","155100"
"2018-09-25","ACU","Adjusted","21.370001"
"2018-09-25","ACU","Close","21.370001"
"2018-09-25","ACU","High","22.110001"
"2018-09-25","ACU","Low","21.02"
"2018-09-25","ACU","OpCl","-0.0248010751145964"
"2018-09-25","ACU","Open","21.9"
"2018-09-25","ACU","Volume","2900"
"2018-09-25","ACY","Adjusted","15.8"
"2018-09-25","ACY","Close","15.8"
"2018-09-25","ACY","High","15.8"
"2018-09-25","ACY","Low","15.8"
"2018-09-25","ACY","OpCl","0"
"2018-09-25","ACY","Open","15.8"
"2018-09-25","ACY","Volume","0"
"2018-09-25","AE","Adjusted","41.049999"
"2018-09-25","AE","Close","41.049999"
"2018-09-25","AE","High","41.82"
"2018-09-25","AE","Low","41.049999"
