"","V0","V1","V2","Err","Set"
"66","AE","ALO",NA,0,"AE-ALO-NA"
"114","AKG","AAU",NA,0,"AKG-AAU-NA"
"170","AMPE","AAU",NA,0,"AMPE-AAU-NA"
"175","AMPE","AINC",NA,0,"AMPE-AINC-NA"
"179","AMPE","ALO",NA,0,"AMPE-ALO-NA"
"232","AAMC","ACU","AMBO",0.190789473684211,"AAMC-ACU-AMBO"
"401","ACU","AAMC","ALO",0.171052631578947,"ACU-AAMC-ALO"
"405","ACU","AAMC","APHB",0.190789473684211,"ACU-AAMC-APHB"
"425","ACU","ACY","AMBO",0.164473684210526,"ACU-ACY-AMBO"
"451","ACU","AINC","ALO",0.177631578947368,"ACU-AINC-ALO"
"454","ACU","AINC","AMS",0.157894736842105,"ACU-AINC-AMS"
"583","AE","AAMC","ALO",0.171052631578947,"AE-AAMC-ALO"
"587","AE","AAMC","APHB",0.190789473684211,"AE-AAMC-APHB"
"588","AE","AAU","ACU",0.197368421052632,"AE-AAU-ACU"
"599","AE","AAU","APHB",0.177631578947368,"AE-AAU-APHB"
"612","AE","ACY","AINC",0.190789473684211,"AE-ACY-AINC"
"623","AE","AEF","AKG",0.197368421052632,"AE-AEF-AKG"
"625","AE","AEF","ALO",0.190789473684211,"AE-AEF-ALO"
"633","AE","AINC","ALO",0.177631578947368,"AE-AINC-ALO"
"656","AE","ALO","AMBO",0.177631578947368,"AE-ALO-AMBO"
"861","AIRI","AAU","ACU",0.197368421052632,"AIRI-AAU-ACU"
"865","AIRI","AAU","AINC",0.190789473684211,"AIRI-AAU-AINC"
"868","AIRI","AAU","ALO",0.184210526315789,"AIRI-AAU-ALO"
"871","AIRI","AAU","AMS",0.190789473684211,"AIRI-AAU-AMS"
"913","AIRI","AINC","ALO",0.177631578947368,"AIRI-AINC-ALO"
"922","AIRI","AKG","AMS",0.197368421052632,"AIRI-AKG-AMS"
"952","AKG","AAU","ACU",0.197368421052632,"AKG-AAU-ACU"
"956","AKG","AAU","AINC",0.190789473684211,"AKG-AAU-AINC"
"959","AKG","AAU","ALO",0.184210526315789,"AKG-AAU-ALO"
"1312","AMPE","AAMC","ALO",0.171052631578947,"AMPE-AAMC-ALO"
"1315","AMPE","AAMC","APHB",0.190789473684211,"AMPE-AAMC-APHB"
"1316","AMPE","AAU","ACU",0.197368421052632,"AMPE-AAU-ACU"
"1317","AMPE","AAU","ACY",0.171052631578947,"AMPE-AAU-ACY"
"1320","AMPE","AAU","AINC",0.190789473684211,"AMPE-AAU-AINC"
"1324","AMPE","AAU","ALO",0.184210526315789,"AMPE-AAU-ALO"
"1325","AMPE","AAU","AMBO",0.177631578947368,"AMPE-AAU-AMBO"
"1326","AMPE","AAU","AMS",0.190789473684211,"AMPE-AAU-AMS"
"1327","AMPE","AAU","APHB",0.177631578947368,"AMPE-AAU-APHB"
"1341","AMPE","ACY","AINC",0.190789473684211,"AMPE-ACY-AINC"
"1362","AMPE","AEF","ALO",0.190789473684211,"AMPE-AEF-ALO"
"1369","AMPE","AINC","ALO",0.177631578947368,"AMPE-AINC-ALO"
"1371","AMPE","AINC","AMS",0.157894736842105,"AMPE-AINC-AMS"
"1388","AMPE","ALO","AMBO",0.177631578947368,"AMPE-ALO-AMBO"
"1406","AMS","AAMC","APHB",0.190789473684211,"AMS-AAMC-APHB"
"1574","APHB","AMBO","AMS",0.184210526315789,"APHB-AMBO-AMS"
