model_id,status,target,predictors,universe,source_end_to_end,top_n,promotion,observations_live,observations_backfill,observations_unknown,evaluated,pending,excluded,baseline_status,last_observation,last_signal,ui_status,signals_20,mean_return_20,win_rate_20,signals_63,mean_return_63,win_rate_63,signals_126,mean_return_126,win_rate_126,pnl_since_promotion,max_drawdown_dollars
model_d4148c5e661a,active,INTC,"[""BKNG"", ""ABBV""]",,,12.0,2026-09-14T23:01:20.820759+00:00,6,18,3,26,1,0,available,2026-09-24,2026-09-18,Données insuffisantes,1,-0.0258420743063043,0.0,1,-0.0258420743063043,0.0,1,-0.0258420743063043,0.0,-258.420743063043,0.0
model_f770768ab169,active,SLB,"[""UNH""]",,,12.0,2026-09-14T23:01:32.744507+00:00,6,18,3,26,1,0,available,2026-09-24,2026-09-18,Données insuffisantes,1,-0.0182502842236848,0.0,1,-0.0182502842236848,0.0,1,-0.0182502842236848,0.0,-182.50284223684798,0.0
model_bb6ac93bf560,active,PANW,"[""KMB"", ""SBUX""]",,,12.0,2026-09-15T02:51:56.190109+00:00,6,21,0,26,1,0,available,2026-09-24,2026-09-24,Données insuffisantes,2,-0.00297562822324635,0.5,2,-0.00297562822324635,0.5,2,-0.00297562822324635,0.5,-59.512564464927,-64.21335740482
model_5a13695db90d,active,MKC,"[""BDX""]",,,12.0,2026-09-17T20:50:20.277318+00:00,6,21,0,25,2,0,unavailable,2026-09-24,2026-09-24,Données insuffisantes,2,-0.015348794372779398,0.5,2,-0.015348794372779398,0.5,2,-0.015348794372779398,0.5,-306.97588745558795,-331.58095835130996
model_ad04504f520b,active,GPC,"[""CHD"", ""FDS""]",,,12.0,2026-09-17T20:50:31.162770+00:00,6,21,0,25,2,0,unavailable,2026-09-24,2026-09-21,Données insuffisantes,1,-0.0187024961252078,0.0,1,-0.0187024961252078,0.0,1,-0.0187024961252078,0.0,-187.02496125207801,0.0
model_e939b0bb2f2d,active,CHRW,"[""KMB"", ""GD""]",,,12.0,2026-09-17T20:50:40.765216+00:00,6,21,0,25,2,0,unavailable,2026-09-24,2026-09-24,Données insuffisantes,3,-0.006231155900120067,0.0,3,-0.006231155900120067,0.0,3,-0.006231155900120067,0.0,-186.934677003602,-178.791354528032
model_ac893c31d783,active,ADP,"[""TMO"", ""BKNG""]",,20260919T020736_28fa866cd2,20.0,2026-09-19T19:55:40.232713+00:00,5,21,0,24,2,0,available,2026-09-24,2026-09-23,Données insuffisantes,1,-0.0180979210340929,0.0,1,-0.0180979210340929,0.0,1,-0.0180979210340929,0.0,-180.97921034092903,0.0
model_b7a6153fb3cb,active,AMD,"[""AXP"", ""KKR""]",,20260919T020736_28fa866cd2,20.0,2026-09-19T19:55:40.770462+00:00,5,21,0,25,1,0,available,2026-09-24,2026-09-24,Données insuffisantes,3,0.020929263683723998,0.6666666666666666,3,0.020929263683723998,0.6666666666666666,3,0.020929263683723998,0.6666666666666666,627.87791051172,-121.19326153850301
model_3b24fcde562c,active,AMD,"[""AXP"", ""WELL""]",,20260919T020736_28fa866cd2,20.0,2026-09-19T19:55:41.306894+00:00,5,21,0,25,1,0,available,2026-09-24,,Données insuffisantes,0,,,0,,,0,,,,
model_8ac716bcacda,active,DE,"[""PH"", ""ABT""]",,20260919T020736_28fa866cd2,20.0,2026-09-19T19:55:41.804701+00:00,5,21,0,25,1,0,available,2026-09-24,2026-09-24,Données insuffisantes,2,0.00177878208484125,0.5,2,0.00177878208484125,0.5,2,0.00177878208484125,0.5,35.57564169682499,-173.35986360299802
