Date signal,Date trade,Symbole,Modèle source,P(Up),Seuil Up,Prix achat,Prix vente,Rendement,Montant investi,Profit / perte,Statut
2026-09-11,2026-09-14,DIS,model_4aaf20a55e19,0.6616556644439697,0.5,107.08999633789062,108.58999633789062,0.01400691055462544,10000.0,140.0691055462544,Gagnant
2026-09-14,2026-09-15,SLB,model_f770768ab169,0.3615697026252746,0.228405,53.790000915527344,54.20000076293945,0.007622231649632827,10000.0,76.22231649632826,Gagnant
2026-09-15,2026-09-16,SLB,model_f770768ab169,0.4774092137813568,0.228405,54.290000915527344,52.29999923706055,-0.036655031219526846,10000.0,-366.5503121952685,Perdant
2026-08-18,2026-08-19,DIS,model_4aaf20a55e19,0.9112220406532288,0.5,104.05999755859376,106.93000030517578,0.027580269209270147,10000.0,275.8026920927015,Gagnant
2026-08-21,2026-08-24,DIS,model_4aaf20a55e19,0.7185804843902588,0.5,108.38999938964844,110.61000061035156,0.020481605620482624,10000.0,204.81605620482622,Gagnant
2026-09-01,2026-09-02,DIS,model_4aaf20a55e19,0.8986666202545166,0.5,106.70999908447266,107.9800033569336,0.011901455190301169,10000.0,119.0145519030117,Gagnant
2026-09-09,2026-09-10,DIS,model_4aaf20a55e19,0.9235860705375672,0.5,103.69000244140624,105.81999969482422,0.02054197322081852,10000.0,205.41973220818522,Gagnant
2026-08-25,2026-08-26,INTC,model_36b550890055,0.6457552909851074,0.318187,86.80999755859375,88.23999786376953,0.016472760573579937,10000.0,164.72760573579936,Gagnant
2026-08-26,2026-08-27,INTC,model_36b550890055,0.7260306477546692,0.318187,89.91000366210938,92.08999633789062,0.024246386241667528,10000.0,242.46386241667528,Gagnant
2026-09-01,2026-09-02,INTC,model_36b550890055,0.5848308801651001,0.318187,88.8499984741211,90.05000305175781,0.013505960588015453,10000.0,135.05960588015452,Gagnant
2026-09-02,2026-09-03,INTC,model_36b550890055,0.7830893397331238,0.318187,89.3499984741211,91.66999816894533,0.02596530200832836,10000.0,259.6530200832836,Gagnant
2026-09-03,2026-09-04,INTC,model_36b550890055,0.4913074970245361,0.318187,92.4499969482422,95.8000030517578,0.03623587035260889,10000.0,362.3587035260889,Gagnant
2026-09-04,2026-09-08,INTC,model_36b550890055,0.841977059841156,0.318187,100.8000030517578,104.47000122070312,0.03640871089121789,10000.0,364.0871089121789,Gagnant
2026-08-25,2026-08-26,INTC,model_d4148c5e661a,0.6769558787345886,0.347326,86.80999755859375,88.23999786376953,0.016472760573579937,10000.0,164.72760573579936,Gagnant
2026-08-26,2026-08-27,INTC,model_d4148c5e661a,0.4728937745094299,0.347326,89.91000366210938,92.08999633789062,0.024246386241667528,10000.0,242.46386241667528,Gagnant
2026-08-31,2026-09-01,INTC,model_d4148c5e661a,0.7492002844810486,0.347326,86.83999633789062,88.97000122070312,0.024527924604288875,10000.0,245.27924604288876,Gagnant
2026-09-01,2026-09-02,INTC,model_d4148c5e661a,0.4190342128276825,0.347326,88.8499984741211,90.05000305175781,0.013505960588015453,10000.0,135.05960588015452,Gagnant
2026-09-03,2026-09-04,INTC,model_d4148c5e661a,0.8190792798995972,0.347326,92.4499969482422,95.8000030517578,0.03623587035260889,10000.0,362.3587035260889,Gagnant
2026-09-04,2026-09-08,INTC,model_d4148c5e661a,0.608250617980957,0.347326,100.8000030517578,104.47000122070312,0.03640871089121789,10000.0,364.0871089121789,Gagnant
2026-09-08,2026-09-09,INTC,model_d4148c5e661a,0.7702285647392273,0.347326,102.6999969482422,106.23999786376952,0.034469338079059275,10000.0,344.69338079059276,Gagnant
2026-09-11,2026-09-14,INTC,model_d4148c5e661a,0.6738923192024231,0.347326,95.72000122070312,97.19000244140624,0.015357304658967896,10000.0,153.57304658967897,Gagnant
2026-08-20,2026-08-21,SLB,model_f770768ab169,0.2542426586151123,0.228405,54.0,53.869998931884766,-0.002407427187319122,10000.0,-24.074271873191222,Perdant
2026-08-21,2026-08-24,SLB,model_f770768ab169,0.3323881030082702,0.228405,53.619998931884766,54.0,0.007086927931460041,10000.0,70.8692793146004,Gagnant
2026-08-24,2026-08-25,SLB,model_f770768ab169,0.236100360751152,0.228405,53.59999847412109,53.290000915527344,-0.005783536705573078,10000.0,-57.83536705573078,Perdant
2026-08-25,2026-08-26,SLB,model_f770768ab169,0.3715912401676178,0.228405,52.54999923706055,53.59999847412109,0.019980956276018924,10000.0,199.80956276018924,Gagnant
2026-08-26,2026-08-27,SLB,model_f770768ab169,0.4123311340808868,0.228405,53.16999816894531,55.0099983215332,0.03460598487781352,10000.0,346.05984877813523,Gagnant
2026-08-27,2026-08-28,SLB,model_f770768ab169,0.5075522661209106,0.228405,54.810001373291016,57.33000183105469,0.0459770186941042,10000.0,459.77018694104197,Gagnant
2026-08-28,2026-08-31,SLB,model_f770768ab169,0.6687644720077515,0.228405,58.18999862670898,60.09999847412109,0.0328235073464227,10000.0,328.23507346422696,Gagnant
2026-09-01,2026-09-02,SLB,model_f770768ab169,0.2475632727146148,0.228405,56.65999984741211,58.130001068115234,0.02594425034701553,10000.0,259.4425034701553,Gagnant
2026-09-03,2026-09-04,SLB,model_f770768ab169,0.4581948816776275,0.228405,57.0,57.5099983215332,0.008947338974266694,10000.0,89.47338974266694,Gagnant
2026-08-20,2026-08-21,PANW,model_bb6ac93bf560,0.4568254053592682,0.341099,352.3999938964844,357.8699951171875,0.015522137671517333,10000.0,155.22137671517334,Gagnant
